State,Modal_Price
Himachal Pradesh,6302.5
West Bengal,5365.384615384615
Tamil Nadu,4377.946493130875
Kerala,4071.4285714285716
Uttar Pradesh,3000.0
Rajasthan,2530.769230769231
Uttarakhand,2306.6666666666665
Madhya Pradesh,2168.3333333333335
Odisha,1560.0
Punjab,1540.3333333333333
Bihar,1100.0
