State,Modal_Price,Volatility
Bihar,1100.0,200.0
Himachal Pradesh,6302.5,430.0
Kerala,4071.43,230.36
Madhya Pradesh,2168.33,18.33
Odisha,1560.0,400.0
Punjab,1540.33,0.0
Rajasthan,2530.77,423.08
Tamil Nadu,4377.95,410.99
Uttar Pradesh,3000.0,0.0
Uttarakhand,2306.67,580.0
West Bengal,5365.38,233.08
