State,Avg_Volatility,Std_Volatility,Max_Volatility,Avg_Price,Avg_Risk_Index
Uttarakhand,580.0,692.0,2700,2306.67,0.24
Himachal Pradesh,430.0,852.3,4000,6302.5,0.07
Rajasthan,423.08,123.52,500,2530.77,0.22
Tamil Nadu,410.99,470.85,5000,4377.95,0.11
Odisha,400.0,0.0,400,1560.0,0.26
West Bengal,233.08,53.01,315,5365.38,0.07
Kerala,230.36,152.35,1000,4071.43,0.07
Bihar,200.0,,200,1100.0,0.18
Madhya Pradesh,18.33,27.54,50,2168.33,0.01
Punjab,0.0,0.0,0,1540.33,0.0
Uttar Pradesh,0.0,0.0,0,3000.0,0.0
