State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Year,Month,Day,Volatility,Risk_Index,Risk_Category
Uttarakhand,Dehradoon,Vikasnagar APMC,Colacasia,Other,Medium,2026-12-03,1400,1600,1600,2026,12,3,200,0.125,Medium Risk
Uttarakhand,Dehradoon,Vikasnagar APMC,Banana,Other,Medium,2026-12-03,700,800,800,2026,12,3,100,0.125,Medium Risk
Punjab,Amritsar,Rayya APMC,Carrot,Carrot,FAQ,2026-12-03,1310,1310,1310,2026,12,3,0,0.0,
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,2026-12-03,1350,1350,1350,2026,12,3,0,0.0,
Punjab,Amritsar,Rayya APMC,Peas Wet,Other,FAQ,2026-12-03,1800,1800,1800,2026,12,3,0,0.0,
Punjab,Amritsar,Rayya APMC,Potato,Potato,FAQ,2026-12-03,560,560,560,2026,12,3,0,0.0,
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cauliflower,Cauliflower,FAQ,2026-12-03,2200,2200,2200,2026,12,3,0,0.0,
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Pea Pod/Pea Cod/हरी मटर,Peas cod,FAQ,2026-12-03,1600,1600,1600,2026,12,3,0,0.0,
Kerala,Kottayam,Athirampuzha APMC,Garlic,Garlic,FAQ,2026-12-03,11400,11600,11500,2026,12,3,200,0.017391304347826087,Low Risk
Kerala,Kottayam,Athirampuzha APMC,Pumpkin,Pumpkin,FAQ,2026-12-03,1800,2000,1900,2026,12,3,200,0.10526315789473684,Medium Risk
Kerala,Kottayam,Athirampuzha APMC,Snakeguard,Snakeguard,FAQ,2026-12-03,3000,3200,3100,2026,12,3,200,0.06451612903225806,Low Risk
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2026-12-03,3400,3400,3400,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,2026-12-03,5000,5000,5000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,2026-12-03,8000,8000,8000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,2026-12-03,4200,4200,4200,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Guava,Guava Allahabad,Local,2026-12-03,8000,8000,8000,2026,12,3,0,0.0,
